TimeStamp,Value
20220109023648,171.90463542938232
20220109023649,172.73876667022705
20220109023650,172.7101445198059
20220109023651,162.08723783493042
20220109023652,162.12403774261475
20220109023653,161.61292791366577
20220109023654,174.01858568191528
20220109023655,3538.1189465522766
20220109023657,3511.451280117035
20220109023658,13.166189193725586
20220109023659,10.030019283294678
20220109023700,3535.5347752571106
20220109023701,173.1149435043335
20220109023702,10.655617713928223
20220109023703,12.937211990356445
20220109023704,11.771881580352783
20220109023705,10.156774520874023
20220109023706,172.7673888206482
20220109023707,171.87601327896118
20220109023708,172.8123664855957
20220109023709,172.34623432159424
20220109023710,171.92916870117188
20220109023711,172.78783321380615
20220109023712,172.34214544296265
20220109023713,175.27387142181396
20220109023714,172.38303422927856
20220109023715,173.24169874191284
20220109023716,172.35032320022583
20220109023717,171.95370197296143
20220109023718,172.78374433517456
20220109023719,172.37894535064697
20220109023720,172.32578992843628
20220109023721,173.5565423965454
20220109023722,171.83103561401367
20220109023723,163.80865573883057
20220109023724,172.37485647201538
20220109023725,172.32987880706787
20220109023726,171.97823524475098
20220109023727,171.90872430801392
20220109023728,172.33396768569946
20220109023729,172.33805656433105
20220109023730,172.70605564117432
20220109023731,173.09041023254395
20220109023732,173.13538789749146
20220109023733,173.069965839386
20220109023734,172.268545627594
20220109023735,172.30125665664673
20220109023736,171.83103561401367
20220109023737,171.83512449264526
20220109023738,172.75512218475342
20220109023739,171.89236879348755
20220109023740,171.84330224990845
20220109023741,172.32987880706787
20220109023742,163.80047798156738
20220109023743,6.096518039703369
20220109023745,3530.7957649230957
20220109023746,8.018290996551514
20220109023747,3563.1510615348816
TimeStamp,Value
20220109024006,0.03679990768432617
20220109024007,2.494215965270996
20220109024008,6.795716285705566
20220109024058,0.08995532989501953
20220109024059,4.808521270751953
20220109024102,0.08177757263183594
20220109024103,1.631462574005127
20220109024104,0.10631084442138672
20220109024105,2.134394645690918
20220109024107,3540.298318862915
20220109024108,12.0621919631958
20220109024109,14.127075672149658
20220109024110,3544.1991090774536
20220109024111,3534.3653559684753
20220109024112,3525.132668018341
20220109024113,3542.8661346435547
20220109024115,3552.6058435440063
20220109024116,37.52363920211792
20220109024117,3520.9824562072754
20220109024118,3.365147113800049
20220109024119,3548.04265499115
20220109024120,3.119814395904541
20220109024121,3535.2158427238464
20220109024122,4.808521270751953
20220109024123,3545.057773590088
20220109024124,7.588958740234375
20220109024126,3532.096028327942
20220109024127,8.038735389709473
20220109024128,3552.630376815796
